
5/22/2024 11:59:42 AM - SWINE - GENERATE DATA SOURCE - processed
5/22/2024 1:45:20 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:46:43 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:49:39 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:50:16 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:50:52 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:51:15 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:52:40 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:53:26 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:55:46 PM - SWINE - COPY SOTC DATA - processed
5/22/2024 1:56:24 PM - SWINE - COPY SOTC DATA - processed
